expression,score,train_rankic,worst_rankic,worst_quarter,usable_days,rejected,rankic_2016Q1,rankic_2016Q2,rankic_2016Q3,rankic_2016Q4,rankic_2017Q1,rankic_2017Q2,rankic_2017Q3,rankic_2017Q4,rankic_2018Q1,rankic_2018Q2,rankic_2018Q3,rankic_2018Q4,rankic_2019Q1,rankic_2019Q2,rankic_2019Q3,rankic_2019Q4,rankic_2020Q1,rankic_2020Q2,rankic_2020Q3,rankic_2020Q4,days_2016Q1,days_2016Q2,days_2016Q3,days_2016Q4,days_2017Q1,days_2017Q2,days_2017Q3,days_2017Q4,days_2018Q1,days_2018Q2,days_2018Q3,days_2018Q4,days_2019Q1,days_2019Q2,days_2019Q3,days_2019Q4,days_2020Q1,days_2020Q2,days_2020Q3,days_2020Q4
($close - $open) / $open,-0.0431553667090554,-0.0431553667090554,-0.09546599079664518,2016Q2,1216,,0.0012289226423500893,-0.09546599079664518,-0.085256934309958,-0.07702625095187941,-0.06286075168589961,0.0017050805738948183,-0.06515179905814732,-0.039038634060467335,-0.03513759460733572,-0.03944126264773339,-0.05890308581197825,0.0013017384963466563,-0.017782538842789616,-0.08170874276526212,-0.031632725747599656,-0.043549605549016934,-0.008970547117140314,-0.04109581890083092,-0.04445185166409111,-0.031167316441125067,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
($high - $low) / $open,-0.03405543231446936,-0.03405543231446936,-0.10155327981728873,2016Q3,1216,,-0.03660901196894085,-0.08569675593875214,-0.10155327981728873,-0.08123713418044434,-0.060265062304039246,-0.02877081107939977,-0.03905571042187226,0.013607996474239959,-0.022341806729731486,-0.007785720177161058,-0.025229339809714764,-0.022240985487011138,-0.012336624715135129,-0.03221767441839215,-0.025890357628491727,-0.028819104219644297,-0.026571858138661628,-0.004198812673356692,-0.04154423066057545,-0.005027900986798962,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
($close - $open) / ($high - $low + 1e-12),-0.03390264407431981,-0.03390264407431981,-0.07885308152490172,2016Q2,1216,,0.03532094635932116,-0.07885308152490172,-0.06941502489155292,-0.058101757929907794,-0.052066270681216206,0.0092402348173141,-0.05474731081403428,-0.027335420045010873,-0.02275547967123357,-0.03312548674389801,-0.05669907810104985,0.00535511354996701,-0.019530211988249745,-0.06968321895856372,-0.030411037038308077,-0.04800745462790963,0.006831477703839221,-0.03820044357287785,-0.03698618485747715,-0.029301840914360805,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"($high - Greater($open, $close)) / $open",-0.0012213498758425491,-0.0012213498758425491,-0.04152617944961925,2016Q3,1216,,0.004620595062238545,-0.036692293991606804,-0.04152617944961925,-0.03952514245773494,-0.0063698996096882895,-0.0012089356804124945,0.0026431414794576462,0.010761709958236415,0.012269153771611682,0.020533416263368163,0.02145018320476199,0.027171279073580693,0.007539157081183807,-0.015063532966946463,0.006920538878214317,0.005045838531721237,0.010520669211575762,0.003259174809851049,-0.028194998716535247,0.016358737781891196,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"($high - Greater($open, $close)) / ($high - $low + 1e-12)",0.018213013886476722,0.018213013886476722,-0.00961653871288675,2020Q3,1216,,0.018282313371221666,0.005986124147341466,0.007443189183337013,0.005970801719921564,0.031657312779913446,0.01628748949880194,0.02828664279825581,0.005899721221358414,0.03208809015697652,0.02545096174935308,0.036979148712671286,0.03629959662997057,0.022594721199107267,0.0014540771858197567,0.01970567211633059,0.017605278226756692,0.03873402055257504,0.0029240872329681254,-0.00961653871288675,0.02291600845791013,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"(Less($open, $close) - $low) / $open",-0.04215655097833332,-0.04215655097833332,-0.07620367686856509,2018Q3,1216,,-0.03377510133861633,-0.042050674562215666,-0.038406763887605555,-0.05737200173250621,-0.0261538737094744,-0.03677198185247551,-0.05709134405272721,-0.04005877842211937,-0.050387465962479255,-0.053696233349058015,-0.07620367686856509,-0.05625075401686074,-0.01963717995793672,-0.04929444035144439,-0.03941826413593659,-0.013726048320804334,-0.04430535932411998,-0.008473119027575996,-0.06095950319100357,-0.03283729721460414,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"(Less($open, $close) - $low) / ($high - $low + 1e-12)",-0.020515103095803983,-0.020515103095803983,-0.07269481054185022,2018Q3,1216,,-0.004817842778491022,0.008114903586050574,0.02076129776040248,-0.009408146470335086,0.013146295366959255,-0.018492191085210188,-0.02999436477152059,-0.044094512391530484,-0.029315611111523584,-0.048410497236836346,-0.07269481054185022,-0.039308404386212505,-0.012815896063464853,-0.02455160073642299,-0.02168073063501583,-0.003982509077518803,-0.01754481249616877,-0.003943704554272573,-0.03944492468191955,-0.028011848701033043,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
(2 * $close - $high - $low) / $open,-0.05810727436705126,-0.05810727436705126,-0.09996784626498523,2018Q3,1216,,-0.03642104692260684,-0.0894026713245344,-0.06618083871062144,-0.07893645439552431,-0.0695572019407167,-0.022621091653985827,-0.0848293651237446,-0.054819164840949175,-0.057661101692193927,-0.06934454589911979,-0.09996784626498523,-0.040868860394107774,-0.030180670200352425,-0.08757312115980397,-0.047225892550567,-0.03828539510061636,-0.04231093281093143,-0.040331124195088046,-0.052952543113587325,-0.046016083794562776,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
(2 * $close - $high - $low) / ($high - $low + 1e-12),-0.04825968946516043,-0.04825968946516043,-0.10495201671098162,2018Q3,1216,,0.00953946206263807,-0.07259905944036685,-0.051675937851069366,-0.061408549722408674,-0.05456223104303982,-0.0059771167760269035,-0.07320775991644453,-0.0472270218201796,-0.0437016024231574,-0.061736494118966895,-0.10495201671098162,-0.038050173604475414,-0.03430860866939414,-0.07597661672503127,-0.04457994388324054,-0.048327535173836075,-0.019915324689835617,-0.03457385348071884,-0.047269492562678324,-0.04594727588013946,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"Ref($open, 1) / $close",0.0373771751972369,0.0373771751972369,-0.01887346887366319,2018Q4,1216,,0.022871672383055614,0.08639710335978702,0.1018028382147114,0.054254937566760336,0.06227474957735492,0.012150307799197029,0.06403213126146852,0.047007864612643085,0.03616722178896317,0.01643867402553238,0.03748335082240693,-0.01887346887366319,0.00995091897086599,0.04166117154879446,0.01574613479871382,0.047999706932810866,0.009679615195310005,0.0575670676943336,0.01114953675120221,0.026995942009518,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"Ref($high, 1) / $close",0.027073086422392152,0.027073086422392152,-0.021597121634752945,2018Q4,1216,,0.008020102666275218,0.0699101372001842,0.0588975413074585,0.03331647735270725,0.0452782001943701,-0.008429881380410774,0.05791596218385901,0.04482938598183272,0.03247086922842215,0.01604482665112493,0.038759351872137235,-0.021597121634752945,0.012757121797744667,0.03505542285951218,-0.0018254480665114983,0.03504617701661416,0.008455899680055832,0.04843028964724256,0.006793348718640127,0.01849969392925288,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"Ref($low, 1) / $close",0.04610131960175362,0.04610131960175362,-0.015527959601275777,2018Q4,1216,,0.02228812329042939,0.09780433960938849,0.1303956844325401,0.0865783780423283,0.07809836662969355,0.006247878209375882,0.07335763253651867,0.046316902971591786,0.03857012453173408,0.017032563470038193,0.05068750051183742,-0.015527959601275777,0.008859387810037962,0.07522510374365536,0.03060556861458737,0.05043798666401805,0.017085060715988008,0.04057364312795893,0.03292150864916423,0.024952345329073027,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
"Ref($volume, 1) / ($volume + 1e-12)",0.021321931738114138,0.021321931738114138,-0.0030297564649060626,2019Q3,1216,,0.05418011511321842,0.05546190119401308,0.03189772682747427,0.025520192610093046,0.03828432415210156,0.008809881626436231,0.02999925313133884,0.0017443123029376197,0.016944505793669174,0.019271595453292732,0.02824807832857126,0.025318013900438727,0.000804485338357708,-0.002921452037545426,-0.0030297564649060626,0.02867865179497893,0.014965820907171575,0.02743656664025478,0.00820501915387166,0.01720516551590411,59,61,64,60,59,60,65,60,59,60,64,60,58,60,65,61,58,59,66,58
